A0_V0.2_V0.1;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;ata / ventil;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022 (e)
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;522,2;548;540,5;515,2;509;511,7;522,7;513,4;525,1;515,5;526;517,7;501,4;501;498,6;499,7;489;481,2;476,4;465,1;466,1;439,2;436,7;437,6;409,9;417,5;426,2;438,4;420,7;412,8;370,7;397,7;386,9
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;CO2;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;377,8;402,5;395;372,1;364,8;366,8;377;368,8;385,6;380,1;390,9;382,4;368,1;369,6;369,4;371,9;362,2;354,5;348,6;340,5;343,5;319,3;317,3;320,5;293,4;302,1;311,8;324,2;310,4;305,4;267,2;297,2;288,1
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;Méthane;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;79,9;80,4;80,5;81;83,6;84,4;82,9;81;81;80,7;81,3;81,4;79,5;78,5;77,1;76,2;75,4;75,3;75,8;74,4;74,4;71,7;70,9;69,3;68,1;67,4;67,4;66,7;65,6;65,6;64,3;62,7;62,3
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;Protoxyde d'azote;V0.1.3;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;53,4;53,6;54,1;53;52,5;53,6;54,9;54,8;48,8;43,4;42,5;42,1;39,8;38,1;36,7;36,4;35;34,6;34,5;33;30,3;29,7;29,7;29,2;30,2;29,9;29,2;30,3;29,1;28,2;27;27;26,9
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;HFC;V0.1.4;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,2;4,9;4,1;2,4;1,5;1,6;2,8;3,6;4;5,1;6,3;7,5;8,6;9,9;11,3;12,3;13,7;14,5;15,6;15,6;16,4;17;17,3;17,2;17,1;16,9;16,6;16;14,5;12,6;11,2;9,9;8,5
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par gaz à effet de serre;V0.1;SF6;V0.1.5;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;2,3;2,3;2,4;2,5;2,5;2,6;2,6;2,7;2,4;2,2;1,9;1,6;1,6;1,7;1,4;1,3;1,2;1,2;1;1;0,8;0,8;0,7;0,6;0,6;0,7;0,6;0,6;0,5;0,5;0,5;0,5
