A0_V0.3_V0.1.2;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020;Milliards d'euros 2020
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;316,2;340,5;353,2;368,0;384,9;408,2;435,6;460,7;466,6;481,7;508,9;544,4;580,8;622,0;664,4;696,4;734,2;775,7;815,0;874,7;925,5;983,9;1 040,1;1 108,7;1 152,7;1 156,4;1 211,1;1 241,6;1 295,4;1 343,8;1 374,2;1 401,4;1 430,8;1 442,6;1 462,7;1 494,4;1 540,3;1 595,2;1 676,9;1 753,2;1 810,5;1 843,9;1 872,8;1 870,5;1 914,0;1 961,5;2 003,8;2 060,5;2 149,0;2 237,0;2 363,4;2 415,9;2 452,3;2 482,3;2 555,1;2 626,3;2 713,1;2 796,4;2 817,8;2 725,2;2 809,7;2 875,1;2 894,6;2 924,8;2 960,7;3 020,3;3 078,9;3 157,3;3 222,3;3 288,8;3 012,4;3 242,4;3 360,5;3 395,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;296,4;318,3;331,6;346,8;361,9;384,2;411,9;434,8;440,2;452,1;474,1;507,8;543,6;581,8;620,9;648,3;682,8;720,4;754,1;804,7;844,3;895,1;941,6;998,2;1 029,6;1 037,2;1 081,9;1 102,3;1 147,2;1 186,0;1 212,0;1 231,4;1 263,3;1 267,1;1 275,3;1 303,1;1 350,3;1 399,5;1 464,4;1 519,6;1 568,6;1 586,4;1 600,1;1 597,0;1 618,3;1 640,3;1 669,8;1 683,7;1 739,8;1 807,4;1 879,3;1 917,8;1 943,9;1 980,9;2 026,9;2 075,6;2 133,0;2 199,8;2 217,7;2 187,9;2 226,5;2 253,8;2 256,9;2 270,5;2 288,4;2 317,6;2 361,4;2 408,1;2 444,9;2 495,2;2 350,4;2 505,3;2 562,9;2 580,9
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;Exportations de biens et de services;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;19,9;22,2;21,6;21,2;22,9;24,0;23,8;25,8;26,3;29,6;34,8;36,7;37,1;40,2;43,5;48,1;51,4;55,3;60,9;70,1;81,2;88,8;98,5;110,5;123,1;119,2;129,2;139,2;148,2;157,8;162,2;170,0;167,5;175,5;187,4;191,4;190,0;195,7;212,5;233,5;241,9;257,6;272,7;273,5;295,7;321,2;334,0;376,8;409,2;429,7;484,1;498,1;508,4;501,5;528,3;550,7;580,1;596,6;600,1;537,3;583,3;621,3;637,7;654,3;672,3;702,7;717,5;749,2;777,4;793,5;662,0;737,0;797,6;814,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;consommation finale;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;243,5;260,4;273,3;285,7;294,4;308,8;330,5;344,9;345,0;352,2;367,4;388,3;416,1;443,7;468,1;486,7;508,8;533,3;556,7;592,2;620,4;656,3;689,2;728,7;754,2;776,7;815,9;838,7;876,8;908,1;925,8;948,8;983,5;997,3;1 008,7;1 031,2;1 067,0;1 101,5;1 140,3;1 171,4;1 205,1;1 224,8;1 246,4;1 263,3;1 280,1;1 297,5;1 325,7;1 338,6;1 373,3;1 413,6;1 460,2;1 490,3;1 520,2;1 547,7;1 578,3;1 613,8;1 651,4;1 692,3;1 704,2;1 721,5;1 751,8;1 769,3;1 773,6;1 790,0;1 809,8;1 836,1;1 866,6;1 895,0;1 913,8;1 942,1;1 829,6;1 933,8;1 991,8;2 007,6
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;formation brute de capital fixe;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;54,3;59,3;60,0;62,8;68,6;76,0;82,0;90,1;94,7;99,1;105,7;117,9;126,0;136,4;150,4;159,0;170,9;183,5;193,7;208,4;219,7;234,5;248,0;264,9;270,9;257,1;262,9;261,1;268,1;275,8;283,7;280,6;278,2;268,9;265,8;270,9;282,1;296,6;322,0;345,2;360,3;358,4;350,9;331,0;335,6;340,1;341,2;341,9;363,6;391,3;417,1;425,8;421,7;431,7;447,2;460,5;480,6;506,9;513,0;465,7;473,9;483,8;482,6;480,0;478,1;481,0;494,3;512,6;530,5;552,3;520,1;570,8;570,5;572,7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;consommation finale;V0.1.1;ménages;V0.1.1.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;158,2;169,5;177,0;185,6;193,0;203,4;217,8;228,3;229,0;234,2;245,7;259,8;278,9;298,9;315,0;326,8;342,0;358,6;374,7;399,0;417,0;440,5;463,6;488,9;504,3;515,4;543,9;558,6;580,3;601,8;610,5;625,2;646,7;652,4;657,4;670,7;696,9;720,2;745,1;769,4;789,7;795,7;804,2;805,8;819,3;833,6;850,5;857,5;893,0;924,6;960,2;984,3;1 003,0;1 021,1;1 042,2;1 069,4;1 099,0;1 128,7;1 135,2;1 136,5;1 157,7;1 166,6;1 162,0;1 168,8;1 180,0;1 198,8;1 219,4;1 237,3;1 250,9;1 272,1;1 190,0;1 252,1;1 290,6;1 301,3
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;consommation finale;V0.1.1;administrations publiques;V0.1.1.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;78,0;82,8;88,3;91,4;91,5;94,5;101,1;103,9;103,0;104,6;107,0;113,7;121,6;128,3;136,2;142,7;149,4;157,4;164,4;174,4;183,8;195,3;204,5;218,0;228,5;241,0;250,9;258,8;275,3;284,6;293,5;301,9;315,1;323,4;330,3;339,9;348,8;358,5;371,1;376,4;388,7;402,9;416,4;431,0;432,7;433,6;443,4;449,5;445,6;452,2;460,8;464,7;472,4;483,1;493,3;501,1;507,8;516,9;522,6;537,1;543,8;551,7;560,7;569,9;577,4;583,6;592,7;602,4;607,4;613,7;587,4;626,4;642,4;646,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;formation brute de capital fixe;V0.1.2;sociétés et entreprises individuelles non financières;V0.1.2.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;27,9;29,6;27,3;28,0;29,1;31,6;34,9;38,6;40,5;42,2;45,7;51,1;54,5;58,2;62,8;63,9;69,0;74,0;79,2;88,0;91,6;99,6;105,7;112,3;112,4;103,5;108,2;109,2;110,9;114,2;121,0;119,4;120,7;116,5;115,9;120,1;127,1;134,9;147,5;159,7;169,2;169,6;165,1;153,2;156,6;160,2;159,8;161,2;175,2;190,5;203,1;210,2;204,6;205,4;211,6;217,2;226,2;247,2;254,4;221,5;229,1;240,4;237,9;237,5;240,7;247,7;255,2;265,2;278,5;286,3;271,3;298,8;307,4;315,6
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;formation brute de capital fixe;V0.1.2;administrations publiques;V0.1.2.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;10,8;10,7;12,9;14,1;16,0;17,7;19,8;21,8;22,4;25,1;26,5;29,5;33,2;36,1;41,3;44,8;46,1;49,7;48,3;49,4;51,8;52,7;53,3;54,7;55,6;58,9;59,9;56,0;55,5;56,5;56,7;57,8;59,5;57,5;57,6;60,7;62,7;65,7;72,3;75,6;80,8;83,3;84,3;81,1;80,8;78,6;78,9;74,1;74,6;77,8;85,0;85,2;85,1;89,3;93,0;96,3;96,5;98,2;99,2;104,6;105,2;99,0;100,0;101,6;96,4;92,5;93,1;92,0;94,5;102,0;96,3;98,6;98,6;105,4
INSEE;https://www.insee.fr/fr/statistiques/2830613;;demande intérieure + exportations;V0;demande intérieure hors stocks;V0.1;formation brute de capital fixe;V0.1.2;ménages hors entrepreneurs individuels;V0.1.2.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;13,3;17,5;20,1;21,3;25,5;29,4;29,6;32,1;34,2;34,2;35,5;39,4;40,4;44,8;50,2;56,0;61,9;66,7;72,9;77,4;83,4;89,2;96,0;104,9;110,8;102,7;102,3;101,8;109,0;112,1;112,6;108,9;101,8;98,0;93,8;90,0;90,7;93,7;98,7;106,6;105,0;97,9;93,1;88,7;92,3;93,8;94,2;97,7;102,4;110,4;114,2;115,3;118,3;121,7;126,9;132,3;141,0;144,8;140,6;122,1;123,3;125,3;122,9;122,3;118,7;116,7;120,0;126,7;129,0;132,5;123,0;141,5;136,6;125,0
