A0_V0.3_V0.2.3;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-6,264;-1,919;-1,936;-12,276;-16,622;-16,529;-19,344;-22,521;-26,045;-17,244;-23,726;-17,769;-25,645;-31,254;-52,039;-72,623;-63,985;-62,039;-48,584;-47,865;-32,195;-21,544;-19,342;-21,687;-50,121;-66,317;-60,3;-61,801;-49,063;-57,936;-69,69;-142,834;-142,761;-109,386;-107,987;-104,712;-98,504;-85,681;-84,025;-77,058;-54,616;-58,226;-207,084;-165,149;-125,774;-153,952;;-1,8;-0,5;-0,4;-2,4;-2,8;-2,5;-2,7;-3,0;-3,2;-2,0;-2,6;-1,8;-2,4;-2,9;-4,6;-6,4;-5,4;-5,1;-3,9;-3,7;-2,4;-1,5;-1,3;-1,4;-3,2;-4,1;-3,5;-3,5;-2,7;-3,0;-3,5;-7,4;-7,2;-5,3;-5,2;-4,9;-4,6;-3,9;-3,8;-3,4;-2,3;-2,4;-8,9;-6,6;-4,8;-5,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-1,421;-0,02;0,045;-5,049;-8,346;-12,26;-16,401;-17,58;-15,981;-12,173;-17,223;-12,461;-19,16;-18,071;-35,603;-57,467;-53,446;-49,274;-42,761;-46,207;-34,596;-30,183;-31,762;-32,766;-54,465;-61,9;-45,869;-48,931;-46,082;-51,906;-71,531;-119,237;-114,835;-93,24;-88,742;-85,614;-83,691;-79,584;-81,898;-81,876;-65,607;-67,769;-154,923;-144,547;-132,966;-156,925;;-0,4;0,0;0,0;-1,0;-1,4;-1,9;-2,3;-2,3;-2,0;-1,4;-1,9;-1,2;-1,8;-1,7;-3,1;-5,0;-4,5;-4,0;-3,4;-3,6;-2,6;-2,2;-2,1;-2,1;-3,4;-3,8;-2,7;-2,8;-2,5;-2,7;-3,6;-6,2;-5,8;-4,5;-4,2;-4,0;-3,9;-3,6;-3,7;-3,6;-2,8;-2,8;-6,7;-5,8;-5,0;-5,6
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations publiques locales;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-4,436;-4,885;-4,982;-6,352;-7,812;-7,661;-5,292;-5,8;-5,312;-4,604;-5,517;-6,106;-5,267;-8,025;-7,809;-4;-4,396;-3,895;-1;1,386;2,546;2,764;1,065;0,803;1,323;0,213;-2,97;-3,585;-4,083;-8,275;-10,131;-6,459;-2,138;-1,481;-4,7;-8,281;-5,682;-0,436;2,258;1,41;1,776;-2,544;-3,858;-0,892;-1,052;-9,931;;-1,3;-1,2;-1,1;-1,2;-1,3;-1,2;-0,7;-0,8;-0,7;-0,5;-0,6;-0,6;-0,5;-0,7;-0,7;-0,4;-0,4;-0,3;-0,1;0,1;0,2;0,2;0,1;0,1;0,1;0,0;-0,2;-0,2;-0,2;-0,4;-0,5;-0,3;-0,1;-0,1;-0,2;-0,4;-0,3;0,0;0,1;0,1;0,1;-0,1;-0,2;0,0;0,0;-0,4
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations de sécurité sociale;V0.3;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-0,407;2,986;3;-0,876;-0,464;3,392;2,348;0,86;-4,752;-0,467;-0,987;0,798;-1,218;-5,158;-8,627;-11,156;-6,143;-8,87;-4,823;-3,044;-0,145;5,874;11,355;10,277;3,021;-4,63;-11,461;-9,286;1,103;2,245;11,972;-17,138;-25,788;-14,665;-14,545;-10,817;-9,131;-5,661;-4,385;3,408;9,215;12,087;-48,304;-19,711;8,244;12,904;;-0,1;0,7;0,7;-0,2;-0,1;0,5;0,3;0,1;-0,6;-0,1;-0,1;0,1;-0,1;-0,5;-0,8;-1,0;-0,5;-0,7;-0,4;-0,2;0,0;0,4;0,8;0,7;0,2;-0,3;-0,7;-0,5;0,1;0,1;0,6;-0,9;-1,3;-0,7;-0,7;-0,5;-0,4;-0,3;-0,2;0,1;0,4;0,5;-2,1;-0,8;0,3;0,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Etat;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-1,502;-0,928;-1,128;-5,68;-9,108;-12,999;-15,737;-18,808;-14,713;-12,256;-18,146;-14,94;-21,425;-20,326;-37,998;-59,362;-55,325;-44,298;-42,366;-47,381;-34,925;-32,439;-31,87;-32,325;-56,671;-61,496;-53,231;-53,684;-53,684;-45,762;-69,425;-119,014;-127,004;-92,582;-85,71;-84,407;-83,784;-74,772;-77,159;-78,244;-62,81;-65,862;-177;-144,06;-148,42;-155,338;;-0,4;-0,2;-0,2;-1,1;-1,6;-2,0;-2,2;-2,5;-1,8;-1,4;-2,0;-1,5;-2,0;-1,9;-3,4;-5,2;-4,7;-3,6;-3,4;-3,7;-2,6;-2,3;-2,2;-2,1;-3,6;-3,8;-3,1;-3,0;-2,9;-2,4;-3,5;-6,1;-6,4;-4,5;-4,1;-4,0;-3,9;-3,4;-3,5;-3,4;-2,7;-2,7;-7,6;-5,8;-5,6;-5,5
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Organismes divers d'administration centrale;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,081;0,908;1,173;0,631;0,762;0,74;-0,664;1,228;-1,268;0,084;0,924;2,479;2,266;2,255;2,395;1,895;1,88;-4,976;-0,395;1,174;0,328;2,256;0,107;-0,442;2,206;-0,404;7,362;4,753;7,602;-6,144;-2,106;-0,224;12,169;-0,658;-3,032;-1,207;0,093;-4,812;-4,739;-3,632;-2,797;-1,906;22,077;-0,487;15,454;-1,587;;0,0;0,2;0,3;0,1;0,1;0,1;-0,1;0,2;-0,2;0,0;0,1;0,2;0,2;0,2;0,2;0,2;0,2;-0,4;0,0;0,1;0,0;0,2;0,0;0,0;0,1;0,0;0,4;0,3;0,4;-0,3;-0,1;0,0;0,6;0,0;-0,1;-0,1;0,0;-0,2;-0,2;-0,2;-0,1;-0,1;1,0;0,0;0,6;-0,1
