A0_V0.3_V0.2.2;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;161,5;185,6;215;255,7;301,4;338;374,7;406,1;431,3;448,1;477,6;503,2;538,8;570,9;605,7;641,6;655,4;680,4;698,5;716,6;726,7;748,6;775,3;808,2;851,1;881,8;915,9;956,1;992,2;1 039,30;1 080,20;1 122,60;1 151,70;1 175,30;1 209,00;1 242,40;1 257,30;1 268,00;1 280,60;1 321,40;1 327,60;1 346,20;1 430,40;1 491,40;1 550,70;1 607,40;;46,3;46,6;47,6;50,1;51,4;52,0;53,0;53,6;52,9;52,4;51,6;50,5;51,1;52,3;53,6;56,2;55,6;55,8;55,8;55,4;53,8;53,4;52,4;52,5;53,6;54,1;53,7;54,1;53,7;53,5;54,2;58,0;57,7;57,1;57,9;58,7;58,5;57,7;57,3;57,5;56,2;55,2;61,7;59,6;58,8;57,3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations publiques locales;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;28;32,3;37,3;43,3;51;57,5;59,6;65,9;72,7;76,4;82,8;89,3;95,6;103,5;109;110,6;116,1;119,6;124,9;124,2;127,2;132,5;141,9;145,3;154,7;163,6;178;186,6;197,5;211,9;221,7;229,2;228,8;233,6;241,6;249,6;249,6;246,2;245,3;250,8;256;268,7;266,3;279,5;294,9;315,4;;8,0;8,1;8,2;8,5;8,7;8,8;8,4;8,7;8,9;8,9;8,9;9,0;9,1;9,5;9,6;9,7;9,8;9,8;10,0;9,6;9,4;9,5;9,6;9,4;9,7;10,0;10,4;10,6;10,7;10,9;11,1;11,8;11,5;11,3;11,6;11,8;11,6;11,2;11,0;10,9;10,8;11,0;11,5;11,2;11,2;11,3
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations de sécurité sociale;V0.3;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;65,7;76;89,2;106,2;126,3;140,4;152,8;163,3;173,6;180,8;192,7;205,8;220,2;235;251,9;264,4;272,1;284,2;294,9;302,6;311,9;320,8;331,7;348,5;367,8;387,3;407,1;427,7;441,3;463,7;476,8;498,6;517,3;533,9;551,4;563,7;575,9;578,1;586;598,1;610,3;623,5;661,8;685,9;707,3;734,9;;18,8;19,1;19,8;20,8;21,5;21,6;21,6;21,6;21,3;21,1;20,8;20,6;20,9;21,5;22,3;23,1;23,1;23,3;23,5;23,4;23,1;22,9;22,4;22,7;23,2;23,8;23,9;24,2;23,9;23,9;23,9;25,7;25,9;25,9;26,4;26,6;26,8;26,3;26,2;26,0;25,8;25,6;28,6;27,4;26,8;26,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Etat;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;75,7;87,5;101,1;119,9;141,3;158,1;172,9;189,1;199;206,7;220,7;228,6;241,9;252,5;269,7;291,6;293,3;292,6;304,5;317,9;313,2;327,7;331,2;345,9;367,5;369,1;391,3;403,1;401,3;406,5;427,7;439,4;491,1;452,8;460,8;477,2;481,6;476,8;483,8;505,5;494,6;483,8;562,8;567,7;609,3;598;;21,7;22,0;22,4;23,5;24,1;24,3;24,5;25,0;24,4;24,1;23,8;22,9;23,0;23,1;23,9;25,5;24,9;24,0;24,3;24,6;23,2;23,4;22,4;22,5;23,1;22,6;23,0;22,8;21,7;20,9;21,5;22,7;24,6;22,0;22,1;22,5;22,4;21,7;21,7;22,0;20,9;19,8;24,3;22,7;23,1;21,3
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Organismes divers d'administration centrale;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;16,8;18,8;22,2;26,7;32,4;35,5;41,3;43,8;40;40,8;40,3;42,1;45,8;47,4;49,6;52,6;49,8;60,6;55,3;56,2;57,9;57,9;61,7;67,4;70;71,8;70,6;75,5;76,9;85,9;83,1;90,2;98,6;99,1;99,6;104,5;107,2;108,1;100,6;103,7;102,1;112,3;119,5;130;133;136,9;;4,8;4,7;4,9;5,2;5,5;5,5;5,8;5,8;4,9;4,8;4,4;4,2;4,3;4,3;4,4;4,6;4,2;5,0;4,4;4,3;4,3;4,1;4,2;4,4;4,4;4,4;4,1;4,3;4,2;4,4;4,2;4,7;4,9;4,8;4,8;4,9;5,0;4,9;4,5;4,5;4,3;4,6;5,2;5,2;5,0;4,9
