A0_V0.3_V0.2.4;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;74,5;85,1;95,3;114,3;151,8;178,3;211,2;238,8;261,7;295;318,2;351,3;384,1;409;467,7;546,5;605;701,6;755,6;799,4;836,1;856,9;880;907,7;966,8;1 060,40;1 134,30;1 201,50;1 207,30;1 268,90;1 389,40;1 627,20;1 722,20;1 830,10;1 915,80;2 004,70;2 070,60;2 134,10;2 190,00;2 262,40;2 319,80;2 386,10;2 662,10;2 826,70;2 953,60;3 101,20;;21,4;21,4;21,1;22,4;25,9;27,4;29,9;31,5;32,1;34,5;34,4;35,2;36,5;37,5;41,4;47,9;51,3;57,6;60,3;61,8;61,8;61,2;59,5;59,0;60,9;65,0;66,6;68,0;65,3;65,4;69,7;84,0;86,3;88,9;91,7;94,7;96,3;97,1;98,0;98,5;98,2;97,9;114,9;113,0;111,9;110,6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;47,3;53,3;59,5;73;103,1;122,1;145,8;165,4;186,9;210,3;228,7;257,9;285,7;303;350;415,6;475,2;556,7;601,2;637,5;682,7;706,5;728,7;756,7;814,7;887,7;926,3;971,4;964,5;1 010,60;1 120,70;1 318,50;1 383,90;1 456,50;1 528,70;1 610,50;1 666,10;1 718,00;1 765,50;1 836,00;1 910,20;1 983,00;2 161,00;2 308,20;2 438,20;2 587,20;;13,6;13,4;13,2;14,3;17,6;18,8;20,6;21,8;22,9;24,6;24,7;25,9;27,1;27,8;30,9;36,4;40,3;45,7;48,0;49,3;50,5;50,4;49,3;49,2;51,3;54,4;54,4;55,0;52,2;52,1;56,2;68,1;69,4;70,8;73,2;76,1;77,5;78,1;79,0;79,9;80,8;81,3;93,2;92,2;92,4;92,3
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations publiques locales;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;23,7;27,4;30,8;35,7;42,4;49;55,8;63,7;68,6;78,1;81,6;85,1;90;95,1;99,6;104,4;108,4;111;112,8;105,8;106,2;105,7;105,8;106,1;105,2;109;112,7;119,2;126,9;137;147,8;156,7;162,8;168,4;175,6;182;187,3;195,2;199;200,3;205;209,3;228,7;244,1;244,6;250,4;;6,8;6,9;6,8;7,0;7,2;7,5;7,9;8,4;8,4;9,1;8,8;8,5;8,5;8,7;8,8;9,1;9,2;9,1;9,0;8,2;7,9;7,5;7,2;6,9;6,6;6,7;6,6;6,7;6,9;7,1;7,4;8,1;8,2;8,2;8,4;8,6;8,7;8,9;8,9;8,7;8,7;8,6;9,9;9,8;9,3;8,9
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations de sécurité sociale;V0.3;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;4,4;5;5,6;6,3;7,2;9,6;9,7;6,1;6,6;7,9;8,3;8,4;10,9;18,1;26,5;21,4;34;41,5;56,1;47,1;44,7;45,6;44,8;47;63,7;95,4;110,9;115,9;121,3;120,9;152;175,6;205,2;211,5;212,2;217,2;220,8;225,5;226,1;204,6;193,8;272,4;274,4;270,8;263,7;;1,0;1,1;1,1;1,1;1,1;1,1;1,4;1,3;0,7;0,8;0,9;0,8;0,8;1,0;1,6;2,3;1,8;2,8;3,3;4,3;3,5;3,2;3,1;2,9;3,0;3,9;5,6;6,3;6,3;6,2;6,1;7,8;8,8;10,0;10,1;10,0;10,1;10,0;10,1;9,8;8,7;8,0;11,8;11,0;10,3;9,4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Etat;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;44,3;49,8;55,1;67,5;95;111,5;133,7;151,9;170,8;192,4;212,7;239,6;264,6;279;322,5;382,2;438,6;488,6;533,1;568,9;613,6;638;660,3;687,9;748,3;812,6;853,5;901;900,4;938,6;1 046,80;1 175,00;1 252,90;1 345,40;1 447,20;1 527,90;1 604,10;1 654,60;1 705,10;1 766,70;1 840,30;1 909,10;2 087,10;2 231,80;2 363,80;2 513,50;;12,7;12,5;12,2;13,2;16,2;17,1;18,9;20,0;21,0;22,5;23,0;24,0;25,1;25,6;28,5;33,5;37,2;40,1;42,6;44,0;45,4;45,5;44,7;44,7;47,1;49,8;50,1;51,0;48,7;48,3;52,5;60,7;62,8;65,4;69,3;72,2;74,6;75,3;76,3;76,9;77,9;78,3;90,0;89,2;89,6;89,7
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Organismes divers d'administration centrale;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3;3,5;4,4;5,5;8,1;10,6;12,1;13,5;16,1;17,9;16;18,3;21,1;24;27,5;33,4;36,6;68,1;68,2;68,7;69,1;68,6;68,4;68,8;66,4;75,2;72,8;70,4;64,1;72,1;73,9;143,5;130,9;111,1;81,5;82,6;62;63,3;60,5;69,3;69,9;73,9;73,9;76,4;74,4;73,7;;0,9;0,9;1,0;1,1;1,4;1,6;1,7;1,8;2,0;2,1;1,7;1,8;2,0;2,2;2,4;2,9;3,1;5,6;5,4;5,3;5,1;4,9;4,6;4,5;4,2;4,6;4,3;4,0;3,5;3,7;3,7;7,4;6,6;5,4;3,9;3,9;2,9;2,9;2,7;3,0;3,0;3,0;3,2;3,1;2,8;2,6
