A0_V0.1_V0.3.2;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;taux pour 1000;ratio;ratio;ratio;ratio;ratio;ratio;ratio
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;victimes;victimes;victimes;victimes;victimes;victimes;victimes;;;;;;;;;;;;;;;;;;;taux pour 1000 habitants;taux pour 1000 habitants;taux pour 1000 habitants;taux pour 1000 habitants;taux pour 1000 habitants;taux pour 1000 habitants;taux pour 1000 habitants
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;2016;2017;2018;2019;2020;2021;2022;;;;;;;;;;;;;;;;;;;2016;2017;2018;2019;2020;2021;2022
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;225527;233562;251333;271907;274337;306740;353583;;;;;;;;;;;;;;;;;;;3,385367381;3,497439393;3,751851646;4,04353215;4,06915461;4,549778139;5,244585654
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;Coups et blessures volontaires intrafamiliaux;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;99083;100520;109905;125704;137736;157497;184053;;;;;;;;;;;;;;;;;;;1,487326822;1,505221773;1,640641122;1,869345642;2,042994855;2,336103565;2,730000377
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;Autres coups et blessures volontaires;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;126444;133042;141428;146203;136601;149243;169530;;;;;;;;;;;;;;;;;;;1,898040559;1,99221762;2,111210524;2,174186508;2,026159756;2,213674574;2,514585277
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;;;;;;;;;;;;;;;;;;;;;;;;213205;221047;238377;258152;260146;290850;336622;;;;;;;;;;;;;;;;;;;3,307104002;3,419708615;3,676159151;3,965665392;3,985741871;4,456163167;5,157443898
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Outre-mer;G0.2;;;;;;;;;;;;;;;;;;;;;;;;12322;12515;12956;13755;14191;15890;16961;;;;;;;;;;;;;;;;;;;5,732805306;5,843423336;6,040039739;6,403175193;6,60194518;7,392354937;7,890606173
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;;;;;;;;;;;;;;;;;;;;;;133643;139779;149037;160660;160891;180200;209074;;;;;;;;;;;;;;;;;;;3,387184574;3,536655094;3,764233796;4,047991655;4,048569039;4,534449664;5,261018474
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié sud;G0.1.2;;;;;;;;;;;;;;;;;;;;;;79562;81268;89340;97492;99255;110650;127548;;;;;;;;;;;;;;;;;;;3,180786549;3,235681201;3,538061026;3,837066594;3,88794051;4,334296684;4,996212142
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;ILE DE FRANCE;G0.1.1.1;;;;;;;;;;;;;;;;;;;;48496;50610;53305;57304;56958;63202;73926;;;;;;;;;;;;;;;;;;;4,002267203;4,156919822;4,364451739;4,673092305;4,641375173;5,150184235;6,024058096
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;CENTRE VAL DE LOIRE;G0.1.1.2;;;;;;;;;;;;;;;;;;;;7063;7548;8138;8775;8933;9768;11101;;;;;;;;;;;;;;;;;;;2,739863127;2,929837609;3,163025637;3,41017729;3,469310794;3,793599892;4,311297339
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;BOURGOGNE FRANCHE COMTE;G0.1.1.3;;;;;;;;;;;;;;;;;;;;8547;8976;9649;9992;10185;11038;12503;;;;;;;;;;;;;;;;;;;3,032638385;3,192689254;3,436489759;3,56147392;3,635299346;3,939757897;4,462655642
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;NORMANDIE;G0.1.1.4;;;;;;;;;;;;;;;;;;;;10076;10268;11114;11724;11356;13478;15646;;;;;;;;;;;;;;;;;;;3,020447977;3,083040933;3,340068166;3,525981103;3,414802248;4,05289756;4,704825288
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;HAUTS DE FRANCE;G0.1.1.5;;;;;;;;;;;;;;;;;;;;24599;25061;27348;29691;28932;33616;38691;;;;;;;;;;;;;;;;;;;4,095144393;4,174179251;4,554881425;4,944423323;4,823821797;5,604783407;6,450936304
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;GRAND EST;G0.1.1.6;;;;;;;;;;;;;;;;;;;;17726;18588;19633;21388;21310;24806;28625;;;;;;;;;;;;;;;;;;;3,190892258;3,349439039;3,537229553;3,849380307;3,830907242;4,459384563;5,145927724
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;PAYS DE LA LOIRE;G0.1.1.7;;;;;;;;;;;;;;;;;;;;9347;10141;10893;11818;12179;12988;15029;;;;;;;;;;;;;;;;;;;2,500781243;2,698797105;2,880661592;3,104721157;3,178136384;3,389246683;3,921850046
data.gouv.fr;https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/;;Coups et blessures volontaires;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;Métropole;G0.1;Moitié nord;G0.1.1;BRETAGNE;G0.1.1.8;;;;;;;;;;;;;;;;;;;;7789;8587;8957;9968;11038;11304;13553;;;;;;;;;;;;;;;;;;;2,355642427;2,587299904;2,685423758;2,971217227;3,271647843;3,350489873;4,017090344
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
